,ALTRED COLLECTION DATE,COLLECTION DATE
3313,2015-05-16,05/16/15
3314,2015-05-19,05/19/15
3315,2015-05-26,05/26/15
3316,2015-05-30,05/30/15
3317,2015-06-02,06/02/15
3318,2015-05-13,05/13/15
3319,2015-05-16,05/16/15
3320,2015-05-19,05/19/15
3321,2015-05-26,05/26/15
3322,2015-05-30,05/30/15
3323,2015-06-02,06/02/15
3324,2015-05-13,05/13/15
3325,2015-05-16,05/16/15
3326,2015-05-19,05/19/15
3327,2015-05-26,05/26/15
3328,2015-05-30,05/30/15
3329,2015-06-02,06/02/15
3330,2015-05-13,05/13/15
3331,2015-05-16,05/16/15
3332,2015-05-19,05/19/15
3333,2015-05-26,05/26/15
3334,2015-05-30,05/30/15
3335,2015-06-02,06/02/15
3336,2015-05-13,05/13/15
3337,2015-05-16,05/16/15
3338,2015-05-19,05/19/15
3339,2015-05-26,05/26/15
3340,2015-05-30,05/30/15
3341,2015-06-02,06/02/15
3342,2014-03-06,03/06/14
3343,2014-03-13,03/13/14
3344,2014-03-20,03/20/14
3345,2014-03-25,03/25/14
3346,2014-02-27,02/27/14
3347,2014-03-06,03/06/14
3348,2014-03-13,03/13/14
3349,2014-02-27,02/27/14
3350,2014-03-06,03/06/14
3351,2014-03-13,03/13/14
3352,2014-03-20,03/20/14
3353,2014-03-25,03/25/14
3354,2014-02-27,02/27/14
3355,2014-03-06,03/06/14
3356,2014-03-13,03/13/14
3357,2014-03-20,03/20/14
3358,2014-03-25,03/25/14
3359,2014-02-27,02/27/14
3360,2014-03-06,03/06/14
3361,2014-03-13,03/13/14
3362,2014-03-20,03/20/14
3363,2014-03-25,03/25/14
3364,2014-02-27,02/27/14
3365,2014-03-06,03/06/14
3366,2014-03-13,03/13/14
3367,2014-03-20,03/20/14
3368,2014-03-25,03/25/14
3369,2014-02-27,02/27/14
3370,2014-03-06,03/06/14
3371,2014-03-13,03/13/14
3372,2014-03-20,03/20/14
3373,2014-03-25,03/25/14
3374,2014-02-27,02/27/14
3375,2014-03-06,03/06/14
3376,2014-03-13,03/13/14
3377,2014-03-20,03/20/14
3378,2014-03-25,03/25/14
3379,2014-02-27,02/27/14
3380,2014-03-06,03/06/14
3381,2014-03-13,03/13/14
3382,2014-03-20,03/20/14
3383,2014-03-25,03/25/14
3384,2014-02-27,02/27/14
3385,2014-03-06,03/06/14
3386,2014-03-13,03/13/14
3387,2014-03-20,03/20/14
3388,2014-03-25,03/25/14
3389,2014-02-27,02/27/14
3390,2014-03-06,03/06/14
3391,2014-03-13,03/13/14
3392,2014-03-20,03/20/14
3393,2014-02-27,02/27/14
3394,2014-03-06,03/06/14
3395,2014-03-13,03/13/14
3396,2014-03-20,03/20/14
3397,2014-03-25,03/25/14
3398,2014-02-27,02/27/14
3399,2014-03-06,03/06/14
3400,2014-03-13,03/13/14
3401,2014-03-20,03/20/14
3402,2014-02-27,02/27/14
3403,2014-03-06,03/06/14
3404,2014-03-13,03/13/14
3405,2014-03-20,03/20/14
3406,2014-03-25,03/25/14
3407,2014-02-27,02/27/14
3495,2014-04-05,04/05/14
3496,2014-01-30,01/30/14
3497,2014-01-30,01/30/14
3498,2014-01-30,01/30/14
3499,2014-01-30,01/30/14
3500,2014-01-30,01/30/14
3501,2014-01-30,01/30/14
3502,2013-09-23,09/23/13
3503,2013-09-23,09/23/13
3504,2013-09-23,09/23/13
3505,2013-09-23,09/23/13
3506,2013-09-23,09/23/13
3507,2013-09-23,09/23/13
3508,2013-09-08,09/08/13
3509,2013-09-08,09/08/13
3510,2013-09-08,09/08/13
3511,2013-09-08,09/08/13
3512,2014-01-28,01/28/14
3513,2014-01-28,01/28/14
3514,2014-08-14,08/14/14
3515,2014-08-14,08/14/14
3516,2014-08-14,08/14/14
3517,2014-08-14,08/14/14
3518,2014-08-14,08/14/14
3519,2014-08-14,08/14/14
3520,2014-08-14,08/14/14
3521,2014-08-14,08/14/14
3522,2014-08-14,08/14/14
3523,2014-08-14,08/14/14
3524,2014-04-06,04/06/14
3525,2014-04-06,04/06/14
3526,2014-04-06,04/06/14
